Date,jpmask
1/1/2020,1
2/1/2020,1
3/1/2020,1
4/1/2020,1
5/1/2020,1
6/1/2020,2
7/1/2020,1
8/1/2020,1
9/1/2020,1
10/1/2020,1
11/1/2020,1
12/1/2020,1
13/1/2020,2
14/1/2020,1
15/1/2020,1
16/1/2020,2
17/1/2020,1
18/1/2020,1
19/1/2020,1
20/1/2020,2
21/1/2020,2
22/1/2020,2
23/1/2020,3
24/1/2020,4
25/1/2020,4
26/1/2020,4
27/1/2020,6
28/1/2020,8
29/1/2020,14
30/1/2020,20
31/1/2020,21
1/2/2020,18
2/2/2020,16
3/2/2020,17
4/2/2020,15
5/2/2020,16
6/2/2020,13
7/2/2020,11
8/2/2020,11
9/2/2020,9
10/2/2020,9
11/2/2020,8
12/2/2020,8
13/2/2020,8
14/2/2020,8
15/2/2020,8
16/2/2020,8
17/2/2020,11
18/2/2020,12
19/2/2020,12
20/2/2020,14
21/2/2020,15
22/2/2020,14
23/2/2020,13
24/2/2020,17
25/2/2020,22
26/2/2020,25
27/2/2020,29
28/2/2020,30
29/2/2020,27
1/3/2020,22
2/3/2020,21
3/3/2020,22
4/3/2020,24
5/3/2020,27
6/3/2020,24
7/3/2020,23
8/3/2020,20
9/3/2020,21
10/3/2020,23
11/3/2020,23
12/3/2020,22
13/3/2020,20
14/3/2020,22
15/3/2020,25
16/3/2020,23
17/3/2020,22
18/3/2020,20
19/3/2020,18
20/3/2020,18
21/3/2020,17
22/3/2020,16
23/3/2020,18
24/3/2020,27
25/3/2020,25
26/3/2020,25
27/3/2020,26
28/3/2020,28
29/3/2020,25
30/3/2020,27
31/3/2020,34
1/4/2020,44
2/4/2020,51
3/4/2020,47
4/4/2020,49
5/4/2020,48
6/4/2020,44
7/4/2020,50
8/4/2020,45
9/4/2020,45
10/4/2020,47
11/4/2020,45
12/4/2020,42
13/4/2020,38
14/4/2020,39
15/4/2020,39
16/4/2020,41
17/4/2020,41
18/4/2020,41
19/4/2020,39
20/4/2020,70
21/4/2020,100
22/4/2020,61
23/4/2020,50
24/4/2020,40
25/4/2020,36
26/4/2020,48
27/4/2020,89
28/4/2020,46
29/4/2020,36
30/4/2020,30
1/5/2020,29
2/5/2020,28
3/5/2020,34
4/5/2020,25
5/5/2020,22
6/5/2020,22
7/5/2020,24
8/5/2020,22
9/5/2020,21
10/5/2020,19
11/5/2020,22
12/5/2020,24
13/5/2020,23
14/5/2020,23
15/5/2020,21
16/5/2020,19
17/5/2020,21
18/5/2020,19
19/5/2020,19
20/5/2020,19
21/5/2020,18
22/5/2020,20
23/5/2020,18
24/5/2020,19
25/5/2020,19
26/5/2020,19
27/5/2020,22
28/5/2020,27
29/5/2020,24
30/5/2020,22
31/5/2020,19
1/6/2020,18
2/6/2020,20
3/6/2020,23
4/6/2020,21
5/6/2020,22
6/6/2020,20
7/6/2020,18
8/6/2020,20
9/6/2020,19
10/6/2020,21
11/6/2020,18
12/6/2020,17
13/6/2020,16
14/6/2020,16
15/6/2020,27
16/6/2020,23
17/6/2020,21
18/6/2020,33
19/6/2020,67
20/6/2020,24
21/6/2020,19
22/6/2020,18
23/6/2020,19
24/6/2020,17
25/6/2020,17
26/6/2020,18
27/6/2020,16
28/6/2020,16
29/6/2020,15
30/6/2020,16
